,PC1,PC2,group,tissue,stage,type,sam,idxOrder
RET_11W_emb2_rep1_1,-28.46545541,15.85971387,11,RET,9W,RGC,RET_11W_emb2_rep1_1,0
RET_11W_emb2_rep1_2,-26.30028087,14.747009699999998,11,RET,9W,RGC,RET_11W_emb2_rep1_2,1
RET_11W_emb2_rep1_3,-25.75274529,-0.23946187,1,RET,9W,RGC,RET_11W_emb2_rep1_3,2
RET_11W_emb2_rep1_4,-26.48778183,14.80104806,11,RET,9W,RGC,RET_11W_emb2_rep1_4,3
RET_11W_emb2_rep1_5,-27.02975246,15.46679777,11,RET,9W,RGC,RET_11W_emb2_rep1_5,4
RET_11W_emb2_rep1_6,8.594896177,14.51411121,8,RET,9W,Photoreceptor,RET_11W_emb2_rep1_6,5
RET_11W_emb2_rep1_7,-24.40792661,13.89560917,11,RET,9W,RGC,RET_11W_emb2_rep1_7,6
RET_11W_emb2_rep1_8,-31.05415158,16.54595732,11,RET,9W,RGC,RET_11W_emb2_rep1_8,7
RET_11W_emb2_rep1_9,0.727972992,16.18530982,3,RET,9W,Horizontal,RET_11W_emb2_rep1_9,8
RET_11W_emb2_rep1_10,-9.462993653,1.71026682,4,RET,9W,RGC,RET_11W_emb2_rep1_10,9
RET_11W_emb2_rep1_11,0.7470025140000001,17.43359358,3,RET,9W,Horizontal,RET_11W_emb2_rep1_11,10
RET_11W_emb2_rep1_12,-29.68691958,-11.37666791,18,RET,9W,Microglia,RET_11W_emb2_rep1_12,11
RET_11W_emb2_rep1_13,-26.69437657,15.53864162,11,RET,9W,RGC,RET_11W_emb2_rep1_13,12
RET_11W_emb2_rep1_14,1.6856277069999999,16.64567036,3,RET,9W,Amacrine,RET_11W_emb2_rep1_14,13
RET_11W_emb2_rep1_15,-2.785268645,0.7582510990000001,9,RET,9W,RPC,RET_11W_emb2_rep1_15,14
RET_11W_emb2_rep1_16,-8.819097962999999,2.209238701,4,RET,9W,RGC,RET_11W_emb2_rep1_16,15
RET_11W_emb2_rep1_17,-22.88562351,1.910799095,1,RET,9W,RGC,RET_11W_emb2_rep1_17,16
RET_11W_emb2_rep1_18,-28.78467219,17.940458800000002,11,RET,9W,RGC,RET_11W_emb2_rep1_18,17
RET_11W_emb2_rep1_19,-8.967821553,2.864484472,4,RET,9W,RGC,RET_11W_emb2_rep1_19,18
RET_11W_emb2_rep1_20,-28.64150228,16.40857762,11,RET,9W,RGC,RET_11W_emb2_rep1_20,19
RET_11W_emb2_rep1_21,-27.93980647,14.98667925,11,RET,9W,RGC,RET_11W_emb2_rep1_21,20
RET_11W_emb2_rep1_22,0.799701338,13.699781699999997,3,RET,9W,Horizontal,RET_11W_emb2_rep1_22,21
RET_11W_emb2_rep1_24,1.646651747,14.89162632,3,RET,9W,Amacrine,RET_11W_emb2_rep1_24,22
RET_11W_emb2_rep1_25,-29.98004333,13.13577385,11,RET,9W,RGC,RET_11W_emb2_rep1_25,23
RET_11W_emb2_rep1_26,-25.62652929,11.45887957,1,RET,9W,RGC,RET_11W_emb2_rep1_26,24
RET_11W_emb2_rep1_27,-28.30585689,17.17601222,11,RET,9W,RGC,RET_11W_emb2_rep1_27,25
RET_11W_emb2_rep1_28,-27.55277542,15.7714196,11,RET,9W,RGC,RET_11W_emb2_rep1_28,26
RET_11W_emb2_rep1_29,-31.43922396,17.09062086,11,RET,9W,RGC,RET_11W_emb2_rep1_29,27
RET_11W_emb2_rep1_30,-27.89190431,15.66879047,11,RET,9W,RGC,RET_11W_emb2_rep1_30,28
RET_11W_emb2_rep1_31,-24.23211946,15.85959156,11,RET,9W,RGC,RET_11W_emb2_rep1_31,29
RET_11W_emb2_rep1_32,-28.43776219,16.04947384,11,RET,9W,RGC,RET_11W_emb2_rep1_32,30
RET_11W_emb2_rep1_33,-28.26581623,15.84849914,11,RET,9W,RGC,RET_11W_emb2_rep1_33,31
RET_11W_emb2_rep1_35,-29.57576244,-11.09916778,18,RET,9W,Microglia,RET_11W_emb2_rep1_35,32
RET_11W_emb2_rep1_36,6.224406534,3.8878005489999996,9,RET,9W,RPC,RET_11W_emb2_rep1_36,33
RET_11W_emb2_rep1_37,-27.12738631,15.64645487,11,RET,9W,RGC,RET_11W_emb2_rep1_37,34
RET_11W_emb2_rep1_38,3.036095815,18.067565600000002,3,RET,9W,Amacrine,RET_11W_emb2_rep1_38,35
RET_11W_emb2_rep1_39,-2.66523761,0.9503454240000001,4,RET,9W,RGC,RET_11W_emb2_rep1_39,36
RET_11W_emb2_rep1_40,-27.95554169,15.7894301,11,RET,9W,RGC,RET_11W_emb2_rep1_40,37
RET_11W_emb2_rep1_41,3.576316209,-2.985133293,2,RET,9W,RPC,RET_11W_emb2_rep1_41,38
RET_11W_emb2_rep1_42,2.055009425,14.26052224,3,RET,9W,Amacrine,RET_11W_emb2_rep1_42,39
RET_11W_emb2_rep1_43,1.3643482130000002,15.55910402,3,RET,9W,Amacrine,RET_11W_emb2_rep1_43,40
RET_11W_emb2_rep1_44,0.488728471,16.74288609,3,RET,9W,Horizontal,RET_11W_emb2_rep1_44,41
RET_11W_emb2_rep1_45,-0.620121127,17.03929691,3,RET,9W,Horizontal,RET_11W_emb2_rep1_45,42
RET_11W_emb2_rep1_46,-29.1822864,16.01459862,11,RET,9W,RGC,RET_11W_emb2_rep1_46,43
RET_11W_emb2_rep1_47,-22.656992600000002,14.46763467,11,RET,9W,RGC,RET_11W_emb2_rep1_47,44
RET_11W_emb2_rep1_48,-8.756444574,17.84543124,3,RET,9W,Amacrine,RET_11W_emb2_rep1_48,45
RET_11W_emb2_rep1_49,-7.3512333729999995,2.570728979,4,RET,9W,RGC,RET_11W_emb2_rep1_49,46
RET_11W_emb2_rep1_50,-27.70116136,16.36659885,11,RET,9W,RGC,RET_11W_emb2_rep1_50,47
RET_11W_emb2_rep2_1,-26.71391222,16.55695852,11,RET,9W,RGC,RET_11W_emb2_rep2_1,48
RET_11W_emb2_rep2_2,-20.34378932,2.642764638,1,RET,9W,RGC,RET_11W_emb2_rep2_2,49
RET_11W_emb2_rep2_3,-30.11020263,15.473184400000001,11,RET,9W,RGC,RET_11W_emb2_rep2_3,50
RET_11W_emb2_rep2_4,-27.76263993,17.50248114,11,RET,9W,RGC,RET_11W_emb2_rep2_4,51
RET_11W_emb2_rep2_5,-27.58354822,16.8809641,11,RET,9W,RGC,RET_11W_emb2_rep2_5,52
RET_11W_emb2_rep2_6,2.8002247469999997,16.89564671,3,RET,9W,Horizontal,RET_11W_emb2_rep2_6,53
RET_11W_emb2_rep2_7,-29.02779666,13.64590962,11,RET,9W,RGC,RET_11W_emb2_rep2_7,54
RET_11W_emb2_rep2_8,-25.93587018,15.70553249,11,RET,9W,RGC,RET_11W_emb2_rep2_8,55
RET_11W_emb2_rep2_9,-29.329644300000002,16.59905968,11,RET,9W,RGC,RET_11W_emb2_rep2_9,56
RET_11W_emb2_rep2_10,-31.023602,15.5369714,11,RET,9W,RGC,RET_11W_emb2_rep2_10,57
RET_11W_emb2_rep2_11,-29.16540547,15.48804451,11,RET,9W,RGC,RET_11W_emb2_rep2_11,58
RET_11W_emb2_rep2_12,-30.17009524,15.37555744,11,RET,9W,RGC,RET_11W_emb2_rep2_12,59
RET_11W_emb2_rep2_13,-28.837096799999998,13.77271575,11,RET,9W,RGC,RET_11W_emb2_rep2_13,60
RET_11W_emb2_rep2_14,-31.09199562,14.27798547,11,RET,9W,RGC,RET_11W_emb2_rep2_14,61
RET_11W_emb2_rep2_15,3.444208665,9.921758929,9,RET,9W,RPC,RET_11W_emb2_rep2_15,62
RET_11W_emb2_rep2_16,-30.82327701,15.71794239,11,RET,9W,RGC,RET_11W_emb2_rep2_16,63
RET_11W_emb2_rep2_17,-31.05812359,14.30665349,11,RET,9W,RGC,RET_11W_emb2_rep2_17,64
RET_11W_emb2_rep2_18,-27.89035504,17.74252615,11,RET,9W,RGC,RET_11W_emb2_rep2_18,65
RET_11W_emb2_rep2_19,-30.57153577,15.90098093,11,RET,9W,RGC,RET_11W_emb2_rep2_19,66
RET_11W_emb2_rep2_20,-29.48782872,-11.58600285,18,RET,9W,Microglia,RET_11W_emb2_rep2_20,67
RET_11W_emb2_rep2_21,-0.586326285,14.5147246,12,RET,9W,Horizontal,RET_11W_emb2_rep2_21,68
RET_11W_emb2_rep2_22,-30.4036354,17.08751087,11,RET,9W,RGC,RET_11W_emb2_rep2_22,69
RET_11W_emb2_rep2_24,-0.258549625,14.82143571,3,RET,9W,Horizontal,RET_11W_emb2_rep2_24,70
RET_11W_emb2_rep2_25,-28.81547023,15.73412099,11,RET,9W,RGC,RET_11W_emb2_rep2_25,71
RET_11W_emb2_rep2_26,-0.691715008,15.70938609,3,RET,9W,Horizontal,RET_11W_emb2_rep2_26,72
RET_11W_emb2_rep2_27,-29.99667007,16.304505499999998,11,RET,9W,RGC,RET_11W_emb2_rep2_27,73
RET_11W_emb2_rep2_28,-32.74636402,14.60254348,1,RET,9W,RGC,RET_11W_emb2_rep2_28,74
RET_11W_emb2_rep2_29,-32.42452696,15.04223123,11,RET,9W,RGC,RET_11W_emb2_rep2_29,75
RET_11W_emb2_rep2_30,-0.49786895700000006,14.66377289,3,RET,9W,Horizontal,RET_11W_emb2_rep2_30,76
RET_11W_emb2_rep2_31,20.53318267,15.07050297,8,RET,9W,Photoreceptor,RET_11W_emb2_rep2_31,77
RET_11W_emb2_rep2_32,-3.115761865,0.592282965,2,RET,9W,RPC,RET_11W_emb2_rep2_32,78
RET_11W_emb2_rep2_33,-32.61391199,14.61494751,11,RET,9W,RGC,RET_11W_emb2_rep2_33,79
RET_11W_emb2_rep2_35,-22.69016571,8.491610352,1,RET,9W,RGC,RET_11W_emb2_rep2_35,80
RET_11W_emb2_rep2_36,-27.443780699999998,16.81386588,11,RET,9W,RGC,RET_11W_emb2_rep2_36,81
RET_11W_emb2_rep2_37,-28.81412795,-11.68862385,18,RET,9W,Microglia,RET_11W_emb2_rep2_37,82
RET_11W_emb2_rep2_38,-30.06829102,15.22413823,11,RET,9W,RGC,RET_11W_emb2_rep2_38,83
RET_11W_emb2_rep2_39,-31.35215204,15.368906099999998,11,RET,9W,RGC,RET_11W_emb2_rep2_39,84
RET_11W_emb2_rep2_40,-28.40387387,16.28325564,11,RET,9W,RGC,RET_11W_emb2_rep2_40,85
RET_11W_emb2_rep2_41,-0.06255118,18.96317797,3,RET,9W,Horizontal,RET_11W_emb2_rep2_41,86
RET_11W_emb2_rep2_42,0.29292906399999996,20.07112587,3,RET,9W,Amacrine,RET_11W_emb2_rep2_42,87
RET_11W_emb2_rep2_43,0.7808595840000001,19.26687397,3,RET,9W,Horizontal,RET_11W_emb2_rep2_43,88
RET_11W_emb2_rep2_44,-29.91095679,15.84842367,11,RET,9W,RGC,RET_11W_emb2_rep2_44,89
RET_11W_emb2_rep2_45,-15.41798693,0.487872452,4,RET,9W,RGC,RET_11W_emb2_rep2_45,90
RET_11W_emb2_rep2_46,-32.43339217,14.58638757,11,RET,9W,RGC,RET_11W_emb2_rep2_46,91
RET_11W_emb2_rep2_47,-29.34959583,13.25497276,11,RET,9W,RGC,RET_11W_emb2_rep2_47,92
RET_11W_emb2_rep2_48,-30.06109903,16.22101439,11,RET,9W,RGC,RET_11W_emb2_rep2_48,93
RET_11W_emb2_rep2_49,-7.518223694,-8.180269055,2,RET,9W,RPC,RET_11W_emb2_rep2_49,94
RET_11W_emb2_rep2_50,-0.793359112,17.21661296,3,RET,9W,Horizontal,RET_11W_emb2_rep2_50,95
RPE_11W_emb2_rep1_1,-6.6922299910000005,-18.8985066,17,RPE,9W,RPE,RPE_11W_emb2_rep1_1,96
RPE_11W_emb2_rep1_2,19.397626199999998,-15.73098319,6,RPE,9W,RPE,RPE_11W_emb2_rep1_2,97
RPE_11W_emb2_rep1_3,24.76202889,-19.49724633,16,RPE,9W,RPE,RPE_11W_emb2_rep1_3,98
RPE_11W_emb2_rep1_4,16.49407578,-11.98845617,17,RPE,9W,RPE,RPE_11W_emb2_rep1_4,99
RPE_11W_emb2_rep1_5,20.7775324,-14.92819907,6,RPE,9W,RPE,RPE_11W_emb2_rep1_5,100
RPE_11W_emb2_rep1_8,19.6467643,-13.09983341,6,RPE,9W,RPE,RPE_11W_emb2_rep1_8,101
RPE_11W_emb2_rep1_10,17.88220605,-13.60694101,6,RPE,9W,RPE,RPE_11W_emb2_rep1_10,102
RPE_11W_emb2_rep1_11,16.5594198,-11.15856537,6,RPE,9W,RPE,RPE_11W_emb2_rep1_11,103
RPE_11W_emb2_rep1_12,11.63224218,-32.49795869,0,RPE,9W,Blood,RPE_11W_emb2_rep1_12,104
RPE_11W_emb2_rep1_13,19.51918807,-13.37973784,6,RPE,9W,RPE,RPE_11W_emb2_rep1_13,105
RPE_11W_emb2_rep1_15,18.73367615,-12.37424006,6,RPE,9W,RPE,RPE_11W_emb2_rep1_15,106
RPE_11W_emb2_rep1_17,18.9248682,-13.04458206,6,RPE,9W,RPE,RPE_11W_emb2_rep1_17,107
RPE_11W_emb2_rep1_18,18.81625309,-12.37116788,6,RPE,9W,RPE,RPE_11W_emb2_rep1_18,108
RPE_11W_emb2_rep1_19,16.09552314,-10.98924097,17,RPE,9W,RPE,RPE_11W_emb2_rep1_19,109
RPE_11W_emb2_rep1_20,18.8671212,-12.59952052,6,RPE,9W,RPE,RPE_11W_emb2_rep1_20,110
RPE_11W_emb2_rep1_21,20.45474115,-14.57384323,6,RPE,9W,RPE,RPE_11W_emb2_rep1_21,111
RPE_11W_emb2_rep1_22,18.8298433,-12.49153068,6,RPE,9W,RPE,RPE_11W_emb2_rep1_22,112
RPE_11W_emb2_rep1_24,19.61180521,-13.84344038,6,RPE,9W,RPE,RPE_11W_emb2_rep1_24,113
RPE_11W_emb2_rep1_25,16.61658152,-11.80517952,17,RPE,9W,RPE,RPE_11W_emb2_rep1_25,114
RPE_11W_emb2_rep1_26,16.91816515,-11.72251396,6,RPE,9W,RPE,RPE_11W_emb2_rep1_26,115
RPE_11W_emb2_rep1_27,18.22463549,-11.40339746,6,RPE,9W,RPE,RPE_11W_emb2_rep1_27,116
RPE_11W_emb2_rep1_29,15.36763657,-10.84529484,17,RPE,9W,RPE,RPE_11W_emb2_rep1_29,117
RPE_11W_emb2_rep1_33,22.74917217,-17.59520513,14,RPE,9W,RPE,RPE_11W_emb2_rep1_33,118
RPE_11W_emb2_rep1_40,19.68123819,-12.91475416,6,RPE,9W,RPE,RPE_11W_emb2_rep1_40,119
RPE_11W_emb2_rep1_42,21.22995896,-14.84545891,6,RPE,9W,RPE,RPE_11W_emb2_rep1_42,120
RPE_11W_emb2_rep1_43,23.08549368,-17.24337936,16,RPE,9W,RPE,RPE_11W_emb2_rep1_43,121
RPE_11W_emb2_rep1_45,24.6535961,-19.640516100000003,16,RPE,9W,RPE,RPE_11W_emb2_rep1_45,122
RPE_11W_emb2_rep1_47,15.92209946,-11.66126017,17,RPE,9W,RPE,RPE_11W_emb2_rep1_47,123
RPE_11W_emb2_rep1_49,20.8877812,-14.47351084,6,RPE,9W,RPE,RPE_11W_emb2_rep1_49,124
RPE_11W_emb1_rep1_1,23.1041232,-12.09556758,6,RPE,9W,RPE,RPE_11W_emb1_rep1_1,125
RPE_11W_emb1_rep1_2,26.70498059,-18.55007548,16,RPE,9W,RPE,RPE_11W_emb1_rep1_2,126
RPE_11W_emb1_rep1_3,24.71501884,-17.58513178,16,RPE,9W,RPE,RPE_11W_emb1_rep1_3,127
RPE_11W_emb1_rep1_4,26.437016600000003,-18.559586,16,RPE,9W,RPE,RPE_11W_emb1_rep1_4,128
RPE_11W_emb1_rep1_6,22.78225481,-11.82131912,6,RPE,9W,RPE,RPE_11W_emb1_rep1_6,129
RPE_11W_emb1_rep1_7,26.50015185,-18.90722168,16,RPE,9W,RPE,RPE_11W_emb1_rep1_7,130
RPE_11W_emb1_rep1_8,25.86449705,-18.46414647,16,RPE,9W,RPE,RPE_11W_emb1_rep1_8,131
RPE_11W_emb1_rep1_9,23.90275526,-16.74679121,16,RPE,9W,RPE,RPE_11W_emb1_rep1_9,132
RPE_11W_emb1_rep1_10,22.42351271,-11.390381199999998,6,RPE,9W,RPE,RPE_11W_emb1_rep1_10,133
RPE_11W_emb1_rep1_11,20.20649485,-11.26331996,6,RPE,9W,RPE,RPE_11W_emb1_rep1_11,134
RPE_11W_emb1_rep1_12,26.28748283,-18.92132044,16,RPE,9W,RPE,RPE_11W_emb1_rep1_12,135
RPE_11W_emb1_rep1_13,23.830536399999996,-17.15323463,16,RPE,9W,RPE,RPE_11W_emb1_rep1_13,136
RPE_11W_emb1_rep1_14,23.957508999999998,-17.24712306,16,RPE,9W,RPE,RPE_11W_emb1_rep1_14,137
RPE_11W_emb1_rep1_15,27.38120872,-18.58073516,16,RPE,9W,RPE,RPE_11W_emb1_rep1_15,138
RPE_11W_emb1_rep1_16,23.64994378,-16.54758174,16,RPE,9W,RPE,RPE_11W_emb1_rep1_16,139
RPE_11W_emb1_rep1_17,26.50312074,-18.5303628,16,RPE,9W,RPE,RPE_11W_emb1_rep1_17,140
RPE_11W_emb1_rep1_18,24.76988528,-17.11795214,16,RPE,9W,RPE,RPE_11W_emb1_rep1_18,141
RPE_11W_emb1_rep1_19,26.63875209,-18.58475396,16,RPE,9W,RPE,RPE_11W_emb1_rep1_19,142
RPE_11W_emb1_rep1_20,25.14447162,-17.92885596,16,RPE,9W,RPE,RPE_11W_emb1_rep1_20,143
RPE_11W_emb1_rep1_21,24.05868275,-17.20829071,16,RPE,9W,RPE,RPE_11W_emb1_rep1_21,144
RPE_11W_emb1_rep1_22,26.26439108,-18.49148055,16,RPE,9W,RPE,RPE_11W_emb1_rep1_22,145
RPE_11W_emb1_rep1_24,26.73920499,-18.45468723,16,RPE,9W,RPE,RPE_11W_emb1_rep1_24,146
RPE_11W_emb1_rep1_25,26.21023572,-18.22787357,16,RPE,9W,RPE,RPE_11W_emb1_rep1_25,147
RPE_11W_emb1_rep1_35,-21.37516517,-26.02898069,10,RPE,9W,Fibroblast,RPE_11W_emb1_rep1_35,148
RET_11W_emb1_rep1_1,-0.7482330070000001,6.409247596,12,RET,9W,Horizontal,RET_11W_emb1_rep1_1,149
RET_11W_emb1_rep1_2,-26.98432594,-11.46840653,18,RET,9W,Microglia,RET_11W_emb1_rep1_2,150
RET_11W_emb1_rep1_3,-29.66394253,-13.15989835,18,RET,9W,Microglia,RET_11W_emb1_rep1_3,151
RET_11W_emb1_rep1_4,-16.38587081,4.348893428999999,4,RET,9W,RGC,RET_11W_emb1_rep1_4,152
RET_11W_emb1_rep1_5,-15.66611242,9.919894454,7,RET,9W,RGC,RET_11W_emb1_rep1_5,153
RET_11W_emb1_rep1_6,0.399255636,6.646141339,9,RET,9W,RPC,RET_11W_emb1_rep1_6,154
RET_11W_emb1_rep1_7,3.5804448489999996,3.208681049,9,RET,9W,RPC,RET_11W_emb1_rep1_7,155
RET_11W_emb1_rep1_8,-17.43672104,6.635709264,1,RET,9W,RGC,RET_11W_emb1_rep1_8,156
RET_11W_emb1_rep1_9,1.3930213269999998,6.9776954589999995,9,RET,9W,RPC,RET_11W_emb1_rep1_9,157
RET_11W_emb1_rep1_10,-7.506531415,7.571487725,12,RET,9W,RGC,RET_11W_emb1_rep1_10,158
RET_11W_emb1_rep1_11,-3.191294582,11.71245907,12,RET,9W,Horizontal,RET_11W_emb1_rep1_11,159
RET_11W_emb1_rep1_12,-3.183533138,11.16302831,12,RET,9W,Horizontal,RET_11W_emb1_rep1_12,160
RET_11W_emb1_rep1_13,-3.3194917810000004,9.749300587,12,RET,9W,Horizontal,RET_11W_emb1_rep1_13,161
RET_11W_emb1_rep1_14,-2.30569455,10.23575911,12,RET,9W,Horizontal,RET_11W_emb1_rep1_14,162
RET_11W_emb1_rep1_15,-4.83162723,13.55191087,12,RET,9W,Horizontal,RET_11W_emb1_rep1_15,163
RET_11W_emb1_rep1_16,-2.08265608,10.28391787,12,RET,9W,Horizontal,RET_11W_emb1_rep1_16,164
RET_11W_emb1_rep1_17,8.275105233,13.13419295,12,RET,9W,Horizontal,RET_11W_emb1_rep1_17,165
RET_11W_emb1_rep1_18,-16.81510689,12.59758038,7,RET,9W,RGC,RET_11W_emb1_rep1_18,166
RET_11W_emb1_rep1_19,4.471932593,1.9913405240000002,9,RET,9W,RPC,RET_11W_emb1_rep1_19,167
RET_11W_emb1_rep1_20,-16.62970869,7.056716801,7,RET,9W,RGC,RET_11W_emb1_rep1_20,168
RET_11W_emb1_rep1_21,8.224873156000001,13.34693442,12,RET,9W,Horizontal,RET_11W_emb1_rep1_21,169
RET_11W_emb1_rep1_22,-19.15771523,8.205408868,1,RET,9W,RGC,RET_11W_emb1_rep1_22,170
RET_11W_emb1_rep1_24,-19.01580072,8.162993839,1,RET,9W,RGC,RET_11W_emb1_rep1_24,171
RET_11W_emb1_rep1_25,0.116729683,7.946969837999999,12,RET,9W,Horizontal,RET_11W_emb1_rep1_25,172
RET_11W_emb1_rep1_26,3.127843152,9.743434545,9,RET,9W,RPC,RET_11W_emb1_rep1_26,173
RET_11W_emb1_rep1_27,-19.09795439,8.370878343,1,RET,9W,RGC,RET_11W_emb1_rep1_27,174
RET_11W_emb1_rep1_28,4.055011717,2.433466373,9,RET,9W,RPC,RET_11W_emb1_rep1_28,175
RET_11W_emb1_rep1_29,-0.9461343459999999,6.025321615,12,RET,9W,Horizontal,RET_11W_emb1_rep1_29,176
RET_11W_emb1_rep1_30,3.902790408,2.412765007,9,RET,9W,RPC,RET_11W_emb1_rep1_30,177
RET_11W_emb1_rep1_31,8.593419362999999,13.77253016,8,RET,9W,Photoreceptor,RET_11W_emb1_rep1_31,178
RET_11W_emb1_rep1_32,-1.8159588919999998,5.56704836,4,RET,9W,Horizontal,RET_11W_emb1_rep1_32,179
RET_11W_emb1_rep1_33,-22.27771418,5.851696873,1,RET,9W,RGC,RET_11W_emb1_rep1_33,180
RET_11W_emb1_rep1_35,-1.232907416,6.147238628999999,12,RET,9W,Horizontal,RET_11W_emb1_rep1_35,181
RET_11W_emb1_rep1_36,-3.649162791,12.66655318,12,RET,9W,Horizontal,RET_11W_emb1_rep1_36,182
RET_11W_emb1_rep1_37,-2.171918774,6.886811715,12,RET,9W,Horizontal,RET_11W_emb1_rep1_37,183
RET_11W_emb1_rep1_38,-1.82344236,14.29218284,3,RET,9W,Horizontal,RET_11W_emb1_rep1_38,184
RET_11W_emb1_rep1_39,-3.0736500789999996,12.97705034,12,RET,9W,Horizontal,RET_11W_emb1_rep1_39,185
RET_11W_emb1_rep1_40,-1.706361969,5.7282947779999995,4,RET,9W,Horizontal,RET_11W_emb1_rep1_40,186
RET_11W_emb1_rep1_41,5.918178002,3.6820288619999997,9,RET,9W,RPC,RET_11W_emb1_rep1_41,187
RET_11W_emb1_rep1_42,-18.48469138,8.561510269,7,RET,9W,RGC,RET_11W_emb1_rep1_42,188
RET_11W_emb1_rep1_43,-16.03852795,11.92554289,7,RET,9W,RGC,RET_11W_emb1_rep1_43,189
RET_11W_emb1_rep1_44,8.288729669,3.193390959,9,RET,9W,RPC,RET_11W_emb1_rep1_44,190
RET_11W_emb1_rep1_45,8.749194251,13.56422843,8,RET,9W,Photoreceptor,RET_11W_emb1_rep1_45,191
RET_11W_emb1_rep1_46,3.4307535610000004,3.363505579,9,RET,9W,RPC,RET_11W_emb1_rep1_46,192
RET_11W_emb1_rep1_47,-13.52359892,5.127525078,4,RET,9W,RGC,RET_11W_emb1_rep1_47,193
RET_11W_emb1_rep1_48,-2.795556915,10.90076075,12,RET,9W,Horizontal,RET_11W_emb1_rep1_48,194
RET_11W_emb1_rep1_49,-2.465904004,12.29279714,12,RET,9W,Horizontal,RET_11W_emb1_rep1_49,195
RET_11W_emb1_rep1_50,7.753941506,3.0995359810000003,9,RET,9W,RPC,RET_11W_emb1_rep1_50,196
RET_11W_emb1_rep2_1,-8.03654738,-6.625773067999999,12,RET,9W,RPC,RET_11W_emb1_rep2_1,197
RET_11W_emb1_rep2_2,-1.062982226,6.350003634,12,RET,9W,Horizontal,RET_11W_emb1_rep2_2,198
RET_11W_emb1_rep2_3,-2.86795546,10.96473628,12,RET,9W,Horizontal,RET_11W_emb1_rep2_3,199
RET_11W_emb1_rep2_4,-1.8012901380000002,14.37809799,3,RET,9W,Horizontal,RET_11W_emb1_rep2_4,200
RET_11W_emb1_rep2_5,-1.089999115,6.533179196,12,RET,9W,Horizontal,RET_11W_emb1_rep2_5,201
RET_11W_emb1_rep2_6,-8.78801627,-9.435696433,2,RET,9W,RPC,RET_11W_emb1_rep2_6,202
RET_11W_emb1_rep2_7,-2.526924803,9.973148167,12,RET,9W,Horizontal,RET_11W_emb1_rep2_7,203
RET_11W_emb1_rep2_8,-1.006850667,7.5557044620000005,12,RET,9W,Horizontal,RET_11W_emb1_rep2_8,204
RET_11W_emb1_rep2_9,-1.880980567,9.217239654,12,RET,9W,Horizontal,RET_11W_emb1_rep2_9,205
RET_11W_emb1_rep2_10,0.23800471899999998,7.705716682,12,RET,9W,Horizontal,RET_11W_emb1_rep2_10,206
RET_11W_emb1_rep2_11,-2.1404651059999997,10.22845559,12,RET,9W,Horizontal,RET_11W_emb1_rep2_11,207
RET_11W_emb1_rep2_12,-1.346885729,8.014568841,12,RET,9W,Horizontal,RET_11W_emb1_rep2_12,208
RET_11W_emb1_rep2_13,-1.4014850559999998,7.676661237,12,RET,9W,Horizontal,RET_11W_emb1_rep2_13,209
RET_11W_emb1_rep2_14,-1.7009780159999999,9.042554062999999,12,RET,9W,Horizontal,RET_11W_emb1_rep2_14,210
RET_11W_emb1_rep2_15,-1.247802801,7.702100719,12,RET,9W,Horizontal,RET_11W_emb1_rep2_15,211
RET_11W_emb1_rep2_16,-0.63384174,7.44194226,12,RET,9W,Horizontal,RET_11W_emb1_rep2_16,212
RET_11W_emb1_rep2_17,-1.9707090580000002,9.173393015,12,RET,9W,Horizontal,RET_11W_emb1_rep2_17,213
RET_11W_emb1_rep2_18,-2.373351261,10.19967448,12,RET,9W,Horizontal,RET_11W_emb1_rep2_18,214
RET_11W_emb1_rep2_19,-17.30576002,6.9433727979999995,1,RET,9W,RGC,RET_11W_emb1_rep2_19,215
RET_11W_emb1_rep2_20,-17.46594794,8.109719993999999,7,RET,9W,RGC,RET_11W_emb1_rep2_20,216
RET_11W_emb1_rep2_21,-1.85589785,13.70400675,12,RET,9W,Horizontal,RET_11W_emb1_rep2_21,217
RET_11W_emb1_rep2_22,-2.635003376,11.50267005,12,RET,9W,Horizontal,RET_11W_emb1_rep2_22,218
RET_11W_emb1_rep2_24,-0.43826086299999994,7.6812251389999995,12,RET,9W,Horizontal,RET_11W_emb1_rep2_24,219
RET_11W_emb1_rep2_25,-8.919023695,-9.527556495,2,RET,9W,RPC,RET_11W_emb1_rep2_25,220
RET_12WP_emb1_rep1_1,1.367535275,19.09775482,3,RET,11W,Amacrine,RET_12WP_emb1_rep1_1,221
RET_12WP_emb1_rep1_2,-22.94609102,18.47342904,11,RET,11W,RGC,RET_12WP_emb1_rep1_2,222
RET_12WP_emb1_rep1_3,-23.36612448,10.91047866,1,RET,11W,RGC,RET_12WP_emb1_rep1_3,223
RET_12WP_emb1_rep1_4,-30.84728291,8.652161999,1,RET,11W,RGC,RET_12WP_emb1_rep1_4,224
RET_12WP_emb1_rep1_5,-26.10893489,16.71901345,11,RET,11W,RGC,RET_12WP_emb1_rep1_5,225
RET_12WP_emb1_rep1_6,-3.129089135,30.21170581,3,RET,11W,Amacrine,RET_12WP_emb1_rep1_6,226
RET_12WP_emb1_rep1_7,2.057491648,17.70209551,3,RET,11W,Amacrine,RET_12WP_emb1_rep1_7,227
RET_12WP_emb1_rep1_8,0.618175669,19.06926585,3,RET,11W,Amacrine,RET_12WP_emb1_rep1_8,228
