,PC1,PC2,group,tissue,stage,type,sam,idxOrder
RPE_8W_emb2_rep1_62,-17.70126834,-21.63469866,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_62,1451
RPE_8W_emb2_rep1_63,-18.93458562,-20.89244348,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_63,1452
RPE_8W_emb2_rep1_64,-27.86674503,-13.707825,18,RPE,6W,Microglia,RPE_8W_emb2_rep1_64,1453
RPE_8W_emb2_rep1_65,0.024960625,-25.74270101,19,RPE,6W,RPE,RPE_8W_emb2_rep1_65,1454
RPE_8W_emb2_rep1_66,-18.23745406,-20.92507595,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_66,1455
RPE_8W_emb2_rep1_67,-19.66192391,-21.14325432,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_67,1456
RPE_8W_emb2_rep1_68,-9.734850828999999,-20.28081291,20,RPE,6W,Blood,RPE_8W_emb2_rep1_68,1457
RPE_8W_emb2_rep1_69,-17.18301655,-28.01327998,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_69,1458
RPE_8W_emb2_rep1_70,-18.21488489,-21.875448600000002,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_70,1459
RPE_8W_emb2_rep1_71,-9.040489857,-19.28705384,20,RPE,6W,Blood,RPE_8W_emb2_rep1_71,1460
RPE_8W_emb2_rep1_72,-18.02514051,-21.2883919,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_72,1461
RPE_8W_emb2_rep1_73,-27.86637057,-14.48740954,18,RPE,6W,Microglia,RPE_8W_emb2_rep1_73,1462
RPE_8W_emb2_rep1_74,1.7096767309999998,-26.66117383,0,RPE,6W,RPE,RPE_8W_emb2_rep1_74,1463
RPE_8W_emb2_rep1_75,-26.52753873,-14.303303099999999,18,RPE,6W,Microglia,RPE_8W_emb2_rep1_75,1464
RPE_8W_emb2_rep1_76,-9.794663499,-19.64578507,20,RPE,6W,Blood,RPE_8W_emb2_rep1_76,1465
RPE_8W_emb2_rep1_77,-19.39692048,-19.18771031,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_77,1466
RPE_8W_emb2_rep1_78,-4.86121012,-35.30343839,0,RPE,6W,RPE,RPE_8W_emb2_rep1_78,1467
RPE_8W_emb2_rep1_79,-19.25984002,-21.24104495,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_79,1468
RPE_8W_emb2_rep1_80,-19.17894365,-21.35393068,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_80,1469
RPE_8W_emb2_rep1_81,-20.16773785,-16.67684676,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_81,1470
RPE_8W_emb2_rep1_82,-19.04300197,-17.33755576,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_82,1471
RPE_8W_emb2_rep1_83,-17.56614229,-22.48838521,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_83,1472
RPE_8W_emb2_rep1_84,-19.6481589,-21.51352189,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_84,1473
RPE_8W_emb2_rep1_85,-18.53624469,-21.644509600000003,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_85,1474
RPE_8W_emb2_rep1_86,-20.16749606,-21.36506696,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_86,1475
RPE_8W_emb2_rep1_87,-4.853089719,-35.27646574,0,RPE,6W,RPE,RPE_8W_emb2_rep1_87,1476
RPE_8W_emb2_rep1_88,-19.11685094,-21.86138016,10,RPE,6W,Fibroblast,RPE_8W_emb2_rep1_88,1477
